448.2,0.1
429.6,0.1
418.8,0.1
413.2,1.2
411.0,3.1
409.4,4.7
408.0,6.1
406.8,7.3
405.8,8.3
404.8,9.3
403.8,10.0
403.0,10.8
402.3,11.5
401.6,12.2
401.0,12.8
400.4,13.4
399.9,13.9
399.2,14.3
398.7,14.8
398.2,15.3
397.8,15.7
397.4,16.1
397.0,16.5
396.6,16.9
396.0,17.2
395.7,17.5
395.3,17.9
395.0,18.2
394.7,18.5
394.4,18.8
394.1,19.1
393.8,19.4
393.5,19.7
393.1,19.8
392.8,20.1
392.5,20.4
392.3,20.6
392.1,20.8
391.8,21.1
391.6,21.3
391.4,21.5
391.2,21.7
391.0,21.9
390.6,22.0
390.4,22.2
390.2,22.4
390.0,22.6
389.8,22.8
389.6,23.0
389.4,23.2
448.2,0.1
434.0,2.3
430.4,5.9
427.8,8.5
425.6,10.4
424.0,12.0
422.6,13.4
421.2,14.5
420.2,15.5
419.2,16.5
418.4,17.3
417.4,18.0
416.7,18.7
416.0,19.4
415.4,20.0
414.8,20.6
414.1,21.0
413.6,21.5
413.1,22.0
412.6,22.5
412.2,22.9
411.8,23.3
411.2,23.6
410.8,24.0
410.4,24.4
410.1,24.7
409.7,25.1
409.4,25.4
408.9,25.6
408.6,25.9
408.3,26.2
408.0,26.5
407.7,26.8
407.5,27.0
407.2,27.3
407.0,27.5
406.5,27.7
406.3,27.9
406.0,28.2
405.8,28.4
405.6,28.6
405.4,28.8
405.2,29.0
405.0,29.2
404.8,29.4
404.4,29.5
404.2,29.7
404.0,29.9
403.8,30.1
403.6,30.3
448.2,0.1
429.6,0.1
418.8,0.1
411.0,0.1
405.0,0.1
400.2,0.1
396.0,0.1
392.4,0.1
390.9,1.0
390.0,1.9
389.1,2.8
388.4,3.5
387.7,4.2
386.8,4.8
386.2,5.4
385.6,6.0
385.1,6.5
384.5,7.1
384.1,7.5
383.6,8.0
383.2,8.4
382.7,8.9
382.3,9.3
382.0,9.6
381.6,10.0
381.0,10.3
380.7,10.6
380.4,10.9
380.1,11.2
379.8,11.5
379.5,11.8
379.2,12.1
378.9,12.4
378.6,12.7
378.4,12.9
378.1,13.2
377.9,13.4
377.5,13.5
377.2,13.8
377.0,14.0
376.8,14.2
376.6,14.4
376.3,14.7
376.1,14.9
375.9,15.1
375.7,15.3
375.6,15.4
375.4,15.6
375.2,15.8
375.0,16.0
415.8,0.1
399.3,0.1
389.7,0.1
384.6,1.0
382.8,2.8
381.4,4.2
380.2,5.4
378.9,6.4
378.0,7.3
377.1,8.2
376.4,8.9
375.7,9.6
375.1,10.2
374.5,10.8
373.7,11.3
373.2,11.8
372.7,12.3
372.3,12.7
371.9,13.1
371.4,13.6
371.1,13.9
370.7,14.3
370.1,14.6
369.8,14.9
369.5,15.2
369.2,15.5
368.9,15.8
368.6,16.1
368.3,16.4
368.0,16.7
367.8,16.9
367.3,17.1
367.1,17.3
366.8,17.6
366.6,17.8
366.4,18.0
366.2,18.2
366.0,18.4
365.7,18.7
365.5,18.9
365.4,19.0
365.2,19.2
365.0,19.4
364.6,19.5
364.4,19.7
364.2,19.9
364.1,20.0
363.9,20.2
363.7,20.4
363.6,20.5
415.8,0.1
403.1,2.0
399.9,5.2
397.4,7.4
395.7,9.1
394.2,10.6
393.0,11.8
391.7,12.8
390.8,13.7
390.0,14.5
389.2,15.3
388.3,15.9
387.7,16.5
387.1,17.1
386.5,17.7
386.0,18.2
Not converged,Not converged
384.9,19.0
384.5,19.4
384.1,19.8
383.7,20.2
383.3,20.6
382.9,21.0
382.4,21.2
382.1,21.5
381.8,21.8
381.5,22.1
381.2,22.4
380.9,22.7
380.6,23.0
380.4,23.2
379.9,23.4
379.7,23.6
379.4,23.9
379.2,24.1
379.0,24.3
378.8,24.5
378.6,24.7
378.4,24.9
378.2,25.1
378.0,25.3
377.6,25.4
377.4,25.6
377.2,25.8
377.0,26.0
376.8,26.2
376.7,26.3
376.5,26.5
376.3,26.7
376.2,26.8
415.8,0.1
399.3,0.1
389.7,0.1
382.8,0.1
377.4,0.1
373.2,0.1
369.6,0.1
366.3,0.1
365.0,0.8
364.1,1.7
363.4,2.4
362.7,3.1
362.1,3.7
361.5,4.3
360.9,4.9
360.4,5.4
359.9,5.9
359.3,6.2
358.8,6.7
358.4,7.1
358.0,7.5
357.7,7.8
357.3,8.2
357.0,8.5
356.7,8.8
356.4,9.1
356.1,9.4
355.8,9.7
355.5,10.0
355.2,10.3
355.0,10.5
354.5,10.7
354.3,10.9
354.0,11.2
